"2016 Elk Harvest, Hunters and Recreation Days for 2 nd Season Limited Antlerless Seasons .......... 50",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 2nd Split Season Limited Antlerless Seasons .... 52",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 3 rd Season Limited Antlerless Seasons ........... 53",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 3 rd Split Season Limited Antlerless Seasons .... 55",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 4 th Season Limited Antlerless Seasons ........... 55",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 4 th Split Season Limited Antlerless Seasons .... 57",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 1 st Season Limited Either-sex Seasons ........... 57",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 2 nd Season Limited Either-sex Seasons .......... 58",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 3 rd Season Limited Either-sex Seasons .......... 59",,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 4 th Season Limited Either-sex Seasons .......... 59",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Early PLO Seasons Only ............................ 60",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Late PLO Seasons Only ............................ 62",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Late Seasons (Does not include PLOs) ....... 62",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Late Seasons (Does not include PLOs) ....... 63",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Bosque del Oso Seasons ....................... 64",,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Damage, AFA and Auction/Raffle Hunts .... 64",,,,,,,,,,,,,,,
2016 Elk Data Analysis Unit (DAU) Map,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Methodology,,,,,,,,,,,,,,,
"Revenue, licensing, and management of Colorado’s deer, elk and pronghorn populations rely on",,,,,,,,,,,,,,,
information Colorado Parks and Wildlife (CPW) collects annually from hunters. Thousands of,,,,,,,,,,,,,,,
Colorado hunting license-holders voluntarily provide this information in what is referred to as the,,,,,,,,,,,,,,,
"Big Game Harvest Survey. How this survey, and specifically the answers hunters provide to",,,,,,,,,,,,,,,
questionnaires supports wildlife management decisions and license setting is both complicated and,,,,,,,,,,,,,,,
"not widely understood. However, season setting and license allocation do rely on the Big Game",,,,,,,,,,,,,,,
"Harvest Survey, as do hunters to determine when and how to hunt big game.",,,,,,,,,,,,,,,
"Here is how it works. Each year, CPW contracts a third party vendor to conduct the Big Game",,,,,,,,,,,,,,,
Harvest Survey. Email/online and live operator telephone based questionnaires collect general,,,,,,,,,,,,,,,
harvest and participation information for all seasons and manners of take at a Data Analysis Unit,,,,,,,,,,,,,,,
(DAU) level. Each DAU represents a geographic area that a specific herd will utilize throughout the,,,,,,,,,,,,,,,
year and consists of one or more Game Management Units (GMU). GMUs are used to control hunter,,,,,,,,,,,,,,,
"distribution in each DAU, which is accomplished through the use of established hunts and license",,,,,,,,,,,,,,,
"setting. By collecting and analyzing hunter survey responses at the DAU level, CPW can increase",,,,,,,,,,,,,,,
precision in reporting and analysis.,,,,,,,,,,,,,,,
"In 2016, the sale of hunting and fishing licenses generated more than $75 million in revenue for",,,,,,,,,,,,,,,
"CPW and more than 70% of this revenue came from deer, elk and pronghorn license sales. CPW sold",,,,,,,,,,,,,,,
"approximately 342,000 deer, elk and pronghorn licenses for nearly 2,300 different hunts. Hunts",,,,,,,,,,,,,,,
"held between August 15, 2016 and January 31, 2017 that were available to the general public",,,,,,,,,,,,,,,
"through the limited license draws, Landowner Preference Program (LPP) vouchers, Over-The-",,,,,,,,,,,,,,,
"Counter, and Leftover sales were included in the annual Big Game Harvest Survey. To ensure all",,,,,,,,,,,,,,,
"hunts were included in the DAU estimates, the Big Game Harvest Survey used stratified random",,,,,,,,,,,,,,,
"sampling of licenses based on hunt code, residency and/or hunter age group. This voluntary sample",,,,,,,,,,,,,,,
based survey allows CPW to estimate harvest more cost effectively and without the penalties for,,,,,,,,,,,,,,,
"noncompliance necessary with a mandatory survey. In total, 328,538 licenses were sold for hunts",,,,,,,,,,,,,,,
"included in the 2016 harvest survey resulting in 163,380 deer, elk and pronghorn licenses being",,,,,,,,,,,,,,,
sampled overall.,,,,,,,,,,,,,,,
"In addition, 222,257 licenses were sold for the 1,053 elk hunts included in the annual harvest",,,,,,,,,,,,,,,
"survey. However, 4,157 of those licenses had invalid contact information at the time of sampling",,,,,,,,,,,,,,,
"and were not included in the sample. The random sampling resulted in 109,941 elk licenses being",,,,,,,,,,,,,,,
"selected for the annual harvest survey. At the end of data collection, 55,600 elk surveys had been",,,,,,,,,,,,,,,
completed resulting in a 51 percent overall response rate.,,,,,,,,,,,,,,,
The harvest figures are estimates of harvest and participation extrapolated by comparing survey,,,,,,,,,,,,,,,
responses to licenses sold. The DAU estimates are followed by the standard error (SE) of the,,,,,,,,,,,,,,,
"estimate, which is a measure of the precision of the estimate. The 95% Lower Confidence Limit",,,,,,,,,,,,,,,
(LCL) and 95% Upper Confidence Limit (UCL) columns provide the upper and lower values for the,,,,,,,,,,,,,,,
"95% confidence limits around the estimate. For example, we estimated total harvest of elk for DAU",,,,,,,,,,,,,,,
"E-6 at 7,057 with a SE of 175. The 95% confidence interval estimates that between 6,722 and 7,408",,,,,,,,,,,,,,,
elk were harvested in E-6 during the 2016 big game season.,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Hunters, Harvest and Recreation Days for All Seasons By DAU with 95% Confidence",,,,,,,,,,,,,,,
Intervals,,,,,,,,,,,,,,,
,,Total Hunters,,,,Total Harvest,,,,Total Recreation Days,,,,,
,,,,,,,,,Percent,,,,,Sample,Response
DAU,estimate,SE,LCL,UCL,estimate,SE,LCL,UCL,Success,estimate,SE,LCL,UCL,Rate,Rate
E-1,384,2,380,388,235,9,218,253,61.2,1674,54,1572,1783,0.959,0.562
E-2,20265,174,19928,20608,5340,112,5125,5565,26.4,88711,1157,86473,91007,0.425,0.536
E-3,11321,154,11022,11628,1356,71,1224,1502,12,54289,933,52490,56149,0.371,0.523
E-4,5520,55,5413,5629,689,56,588,806,12.5,31865,1149,29691,34198,0.420,0.473
E-6,34065,292,33497,34643,7057,175,6722,7408,20.7,161463,1674,158215,164777,0.318,0.516
E-7,6110,97,5923,6304,648,40,575,731,10.6,32152,714,30784,33581,0.453,0.526
E-8,7711,104,7509,7918,746,57,642,867,9.7,35909,677,34607,37261,0.323,0.478
E-9,920,33,858,987,339,40,270,426,36.9,9564,1581,6933,13194,0.540,0.509
E-10,8565,128,8318,8819,1744,72,1609,1890,20.4,42322,816,40753,43952,0.444,0.498
E-11,2070,58,1959,2187,436,27,386,492,21,9439,357,8764,10166,0.564,0.543
E-12,3655,75,3511,3805,387,30,333,450,10.6,18122,509,17152,19148,0.579,0.485
E-13,8518,110,8305,8736,879,53,782,989,10.3,42045,793,40519,43629,0.417,0.494
E-14,17635,193,17260,18019,2754,105,2556,2968,15.6,96786,1938,93062,100659,0.342,0.480
E-15,3242,73,3102,3388,536,36,470,611,16.5,17270,519,16283,18317,0.574,0.491
E-16,5113,97,4927,5307,564,36,498,638,11,27926,709,26571,29350,0.644,0.520
E-17,1831,14,1804,1858,372,21,333,417,20.3,11499,494,10572,12509,0.818,0.522
E-18,2192,18,2158,2227,380,23,338,429,17.4,12927,430,12111,13799,0.693,0.522
E-19,762,6,750,774,408,21,370,450,53.6,4024,197,3655,4430,0.748,0.552
E-20,6510,102,6313,6713,1578,50,1484,1678,24.2,38417,804,36874,40026,0.666,0.522
E-21,615,11,594,636,326,16,296,360,53.1,2629,125,2394,2886,0.731,0.549
E-22,2189,0,2189,2189,679,31,622,742,31,12846,339,12198,13528,0.665,0.522
E-23,4844,97,4658,5037,394,30,340,457,8.1,28079,862,26440,29820,0.616,0.497
E-24,11654,145,11373,11942,2010,72,1873,2156,17.2,64060,1014,62103,66079,0.516,0.517
E-25,2906,24,2859,2953,552,32,494,618,19,15217,215,14801,15644,0.577,0.536
E-26,3565,73,3425,3711,261,27,214,320,7.3,20238,549,19189,21343,0.524,0.475
E-27,2929,75,2785,3081,476,50,388,584,16.3,18879,1514,16136,22088,0.452,0.488
E-28,1362,0,1362,1362,440,33,379,509,32.3,8843,954,7163,10919,0.554,0.512
E-30,2828,70,2694,2970,527,38,457,608,18.6,16847,693,15543,18261,0.554,0.501
E-31,9776,132,9521,10037,1583,68,1456,1722,16.2,52358,910,50605,54172,0.478,0.515
E-32,7016,114,6797,7243,828,48,739,928,11.8,39335,854,37696,41046,0.411,0.471
E-33,6023,102,5827,6226,1531,55,1426,1643,25.4,32613,802,31079,34223,0.582,0.509
E-34,1838,26,1788,1890,415,22,374,461,22.6,9576,210,9174,9995,0.644,0.529
E-35,4113,71,3977,4254,837,46,753,931,20.4,21035,540,20004,22120,0.513,0.485
E-38,1492,48,1400,1590,206,21,170,251,13.8,10313,1103,8368,12709,0.738,0.505
E-39,1219,16,1188,1251,288,24,246,339,23.7,9326,783,7914,10991,0.753,0.511
E-40,384,24,339,435,91,12,71,116,23.6,1953,165,1656,2304,0.924,0.467
E-41,2230,45,2144,2319,307,28,257,366,13.8,12330,312,11734,12957,0.515,0.540
E-43,5878,91,5702,6059,697,43,617,787,11.9,31433,609,30262,32650,0.464,0.554
E-47,91,4,84,99,28,4,21,36,30.3,479,57,380,603,1.000,0.545
E-51,876,26,827,929,234,18,202,271,26.7,7227,700,5980,8734,0.710,0.502
E-52,3521,70,3387,3661,698,37,629,775,19.8,20669,605,19516,21891,0.646,0.492
E-53,321,24,278,370,54,9,39,74,16.8,1759,166,1462,2116,0.928,0.515
E-55,129,0,129,129,56,4,49,63,43.1,1329,63,1212,1458,n/a,n/a
E-99,1202,41,1124,1286,244,21,207,287,20.3,9490,861,7946,11334,0.556,0.497
4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Manners of Take",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,12,17,0,29,92,32,479,,,,,,,,
2,39,82,4,125,183,68,821,,,,,,,,
201,47,60,7,114,205,56,885,,,,,,,,
3,320,438,20,778,"3,615",22,"14,166",,,,,,,,
301,172,162,19,353,"1,919",18,"7,495",,,,,,,,
4,646,584,24,"1,254","4,817",26,"22,395",,,,,,,,
441,413,286,17,716,"2,060",35,"8,348",,,,,,,,
5,352,183,23,558,"1,753",32,"7,356",,,,,,,,
6,198,241,29,468,"3,742",13,"17,193",,,,,,,,
7,188,55,0,243,"1,851",13,"10,442",,,,,,,,
8,86,76,17,179,"1,641",11,"8,899",,,,,,,,
9,32,19,0,51,180,28,"2,257",,,,,,,,
10,49,245,23,317,593,53,"2,575",,,,,,,,
11,581,616,45,"1,242","4,782",26,"20,330",,,,,,,,
211,365,210,24,599,"2,593",23,"12,178",,,,,,,,
12,815,594,89,"1,498","5,811",26,"26,319",,,,,,,,
13,278,329,37,644,"2,177",30,"10,030",,,,,,,,
131,84,169,13,266,"1,230",22,"6,127",,,,,,,,
231,121,130,13,264,"2,003",13,"10,795",,,,,,,,
14,253,118,12,383,"2,862",13,"16,352",,,,,,,,
214,317,332,35,684,"2,170",32,"9,570",,,,,,,,
15,202,225,20,447,"4,399",10,"24,264",,,,,,,,
16,139,136,19,294,"2,071",14,"10,570",,,,,,,,
161,88,74,16,178,"1,268",14,"6,414",,,,,,,,
17,84,156,3,243,"2,055",12,"9,734",,,,,,,,
171,70,78,10,158,"2,111",7,"10,092",,,,,,,,
18,231,337,56,624,"6,113",10,"28,911",,,,,,,,
181,82,36,5,123,"1,597",8,"6,997",,,,,,,,
19,119,37,0,156,"1,170",13,"6,802",,,,,,,,
191,39,18,2,59,686,9,"3,464",,,,,,,,
20,125,182,30,337,921,37,"9,565",,,,,,,,
21,221,189,36,446,"2,289",19,"11,912",,,,,,,,
22,299,260,36,595,"2,613",23,"13,273",,,,,,,,
23,478,385,27,890,"4,260",21,"19,724",,,,,,,,
24,248,231,11,490,"3,364",15,"16,134",,,,,,,,
25,147,99,20,266,"1,677",16,"8,495",,,,,,,,
26,107,105,19,231,"1,505",15,"7,775",,,,,,,,
27,97,99,5,201,"1,714",12,"7,888",,,,,,,,
28,240,231,20,491,"4,628",11,"24,129",,,,,,,,
29,24,53,10,87,254,34,"1,595",,,,,,,,
30,49,55,9,113,"1,023",11,"4,683",,,,,,,,
31,175,191,36,402,"1,694",24,"7,895",,,,,,,,
32,87,71,25,183,950,19,"4,553",,,,,,,,
33,174,154,13,341,"2,971",11,"15,105",,,,,,,,
34,70,50,3,123,"1,309",9,"6,904",,,,,,,,
35,84,66,17,167,"1,403",12,"6,884",,,,,,,,
36,125,48,8,181,"1,790",10,"9,233",,,,,,,,
361,16,27,0,43,442,10,"1,958",,,,,,,,
37,95,127,24,246,"2,453",10,"11,298",,,,,,,,
371,73,59,8,140,"1,433",10,"6,618",,,,,,,,
38,68,52,0,120,"1,239",10,"8,719",,,,,,,,
39,70,54,7,131,578,23,"4,070",,,,,,,,
391,15,68,7,90,243,37,"2,376",,,,,,,,
40,167,193,17,377,714,53,"3,886",,,,,,,,
41,128,200,11,339,"2,402",14,"13,363",,,,,,,,
411,80,88,6,174,805,22,"4,165",,,,,,,,
,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Manners of Take",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
42,276,301,68,645,"4,324",15,"22,924",,,,,,,,
421,338,384,33,755,"4,258",18,"23,884",,,,,,,,
43,268,172,28,468,"2,856",16,"15,237",,,,,,,,
44,83,58,8,149,"1,448",10,"7,316",,,,,,,,
444,88,80,5,173,"1,416",12,"8,454",,,,,,,,
45,99,42,2,143,"1,474",10,"7,934",,,,,,,,
46,36,12,0,48,278,17,"2,033",,,,,,,,
461,15,7,0,22,120,18,849,,,,,,,,
47,41,52,3,96,776,12,"4,219",,,,,,,,
471,41,18,6,65,388,17,"2,034",,,,,,,,
48,57,37,2,96,444,22,"2,381",,,,,,,,
481,80,52,8,140,650,22,"4,509",,,,,,,,
49,164,128,15,307,901,34,"5,157",,,,,,,,
50,46,72,7,125,843,15,"4,527",,,,,,,,
500,85,74,5,164,843,19,"5,159",,,,,,,,
501,56,40,0,96,506,19,"3,238",,,,,,,,
51,45,28,2,75,467,16,"3,464",,,,,,,,
511,81,51,7,139,"2,155",6,"13,333",,,,,,,,
512,1,4,0,5,5,100,34,,,,,,,,
52,80,111,28,219,"1,851",12,"10,821",,,,,,,,
521,327,247,47,621,"3,994",16,"21,634",,,,,,,,
53,216,202,29,447,"2,280",20,"13,117",,,,,,,,
54,238,65,5,308,"2,231",14,"12,330",,,,,,,,
55,245,194,25,464,"4,046",11,"21,383",,,,,,,,
551,120,101,9,230,"1,833",13,"10,050",,,,,,,,
56,61,53,0,114,472,24,"2,908",,,,,,,,
561,18,5,0,23,268,9,"1,702",,,,,,,,
57,78,78,9,165,585,28,"3,440",,,,,,,,
58,90,95,19,204,701,29,"4,247",,,,,,,,
581,80,45,6,131,"1,566",8,"8,326",,,,,,,,
59,53,24,3,80,799,10,"4,638",,,,,,,,
591,32,6,2,40,324,12,"1,756",,,,,,,,
60,55,32,3,90,386,23,"1,952",,,,,,,,
61,261,419,24,704,"1,240",57,"6,168",,,,,,,,
62,495,360,21,876,"5,272",17,"32,253",,,,,,,,
63,98,136,15,249,"1,241",20,"7,551",,,,,,,,
64,100,78,3,181,"1,026",18,"4,836",,,,,,,,
65,274,318,65,657,"3,090",21,"16,201",,,,,,,,
66,208,102,12,322,"1,466",22,"7,652",,,,,,,,
67,103,108,18,229,"1,442",16,"7,567",,,,,,,,
68,118,48,6,172,"2,161",8,"12,142",,,,,,,,
681,64,22,2,88,"1,407",6,"8,095",,,,,,,,
682,58,29,0,87,142,61,529,,,,,,,,
69,50,62,11,123,498,25,"3,623",,,,,,,,
691,0,21,0,21,138,15,692,,,,,,,,
70,449,475,70,994,"4,349",23,"22,831",,,,,,,,
71,315,193,9,517,"3,395",15,"19,066",,,,,,,,
711,153,150,6,309,"2,254",14,"12,468",,,,,,,,
72,54,17,3,74,635,12,"3,533",,,,,,,,
73,71,43,0,114,"1,022",11,"6,169",,,,,,,,
74,251,136,12,399,"2,249",18,"12,705",,,,,,,,
741,38,80,10,128,579,22,"4,146",,,,,,,,
75,206,113,32,351,"2,089",17,"10,469",,,,,,,,
751,133,106,13,252,"1,315",19,"6,989",,,,,,,,
76,229,102,8,339,"1,045",32,"5,555",,,,,,,,
77,326,83,15,424,"2,900",15,"15,654",,,,,,,,
,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Manners of Take",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
771,45,26,0,71,604,12,"3,113",,,,,,,,
78,323,163,4,490,"2,869",17,"16,137",,,,,,,,
79,36,39,1,76,792,10,"4,021",,,,,,,,
791,37,29,0,66,133,50,425,,,,,,,,
80,238,143,7,388,"3,335",12,"19,129",,,,,,,,
81,283,140,16,439,"3,681",12,"20,208",,,,,,,,
82,241,180,16,437,"2,071",21,"9,439",,,,,,,,
83,187,184,14,385,"1,560",25,"7,828",,,,,,,,
84,123,154,20,297,829,36,"5,061",,,,,,,,
85,336,355,25,716,"3,264",22,"18,829",,,,,,,,
851,125,137,2,264,707,37,"3,500",,,,,,,,
86,124,198,37,359,"2,277",16,"15,577",,,,,,,,
861,62,31,0,93,505,18,"2,564",,,,,,,,
87,22,8,0,30,107,28,550,,,,,,,,
88,0,0,0,0,29,0,171,,,,,,,,
94,0,0,0,0,3,0,74,,,,,,,,
95,0,0,0,0,6,0,90,,,,,,,,
951,0,0,0,0,3,0,34,,,,,,,,
96,0,0,0,0,6,0,64,,,,,,,,
97,0,3,0,3,3,100,3,,,,,,,,
98,5,0,0,5,10,50,67,,,,,,,,
99,0,0,0,0,3,0,10,,,,,,,,
100,0,0,0,0,5,0,23,,,,,,,,
102,0,0,0,0,3,0,15,,,,,,,,
103,0,0,0,0,6,0,38,,,,,,,,
104,25,41,11,77,176,44,"1,477",,,,,,,,
105,26,10,3,39,108,36,"1,062",,,,,,,,
106,0,0,0,0,8,0,162,,,,,,,,
109,0,0,0,0,5,0,23,,,,,,,,
110,14,0,3,17,70,24,877,,,,,,,,
111,0,3,0,3,18,17,109,,,,,,,,
112,0,0,0,0,6,0,63,,,,,,,,
113,0,0,0,0,3,0,7,,,,,,,,
116,0,0,0,0,10,0,68,,,,,,,,
117,0,0,0,0,8,0,79,,,,,,,,
118,0,3,0,3,8,38,44,,,,,,,,
119,0,0,0,0,3,0,13,,,,,,,,
120,0,0,0,0,3,0,15,,,,,,,,
121,0,0,0,0,8,0,130,,,,,,,,
122,0,0,0,0,3,0,18,,,,,,,,
123,8,15,0,23,51,45,465,,,,,,,,
124,3,3,0,6,42,14,257,,,,,,,,
125,0,3,0,3,26,12,137,,,,,,,,
126,0,3,0,3,26,12,307,,,,,,,,
127,0,0,0,0,5,0,31,,,,,,,,
128,8,17,0,25,243,10,"3,258",,,,,,,,
129,0,0,0,0,5,0,21,,,,,,,,
130,3,13,3,19,60,32,385,,,,,,,,
132,0,0,0,0,13,0,47,,,,,,,,
133,3,3,0,6,56,11,387,,,,,,,,
134,3,0,0,3,31,10,165,,,,,,,,
135,0,0,0,0,55,0,272,,,,,,,,
136,27,15,3,45,119,38,877,,,,,,,,
137,11,0,0,11,38,29,222,,,,,,,,
138,0,0,0,0,13,0,76,,,,,,,,
139,0,0,3,3,16,19,61,,,,,,,,
,,,,,,,7,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Manners of Take",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
140,68,12,0,80,350,23,"1,796",,,,,,,,
141,11,9,0,20,67,30,357,,,,,,,,
142,13,10,0,23,112,21,576,,,,,,,,
143,19,8,0,27,77,35,399,,,,,,,,
144,10,0,0,10,68,15,287,,,,,,,,
145,3,3,0,6,24,25,150,,,,,,,,
146,5,3,0,8,71,11,571,,,,,,,,
147,19,0,0,19,63,30,340,,,,,,,,
Total,"19,997","17,415","1,894","39,306","223,745",18,"1,178,905",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,9,17,0,26,82,32,406,,,,,,,,
2,27,79,4,110,161,68,641,,,,,,,,
201,29,56,7,92,181,51,670,,,,,,,,
3,316,438,20,774,"3,522",22,"13,594",,,,,,,,
301,165,159,19,343,"1,849",19,"7,111",,,,,,,,
4,577,509,16,"1,102","4,261",26,"19,013",,,,,,,,
441,388,268,16,672,"1,828",37,"6,897",,,,,,,,
5,326,161,23,510,"1,534",33,"5,917",,,,,,,,
6,171,204,26,401,"2,693",15,"10,623",,,,,,,,
7,124,47,0,171,"1,117",15,"5,348",,,,,,,,
8,73,40,7,120,"1,087",11,"4,905",,,,,,,,
9,22,19,0,41,136,30,"1,996",,,,,,,,
10,36,241,23,300,571,53,"2,423",,,,,,,,
11,553,606,45,"1,204","4,500",27,"18,783",,,,,,,,
211,305,198,21,524,"2,251",23,"9,703",,,,,,,,
12,665,513,74,"1,252","4,984",25,"21,311",,,,,,,,
13,241,294,34,569,"1,867",30,"8,294",,,,,,,,
131,35,127,13,175,794,22,"3,474",,,,,,,,
231,74,93,7,174,"1,198",15,"5,803",,,,,,,,
14,120,77,5,202,"1,357",15,"6,043",,,,,,,,
214,247,304,32,583,"1,547",38,"5,881",,,,,,,,
15,159,205,16,380,"3,079",12,"15,170",,,,,,,,
16,99,98,10,207,"1,233",17,"5,248",,,,,,,,
161,52,62,16,130,849,15,"3,725",,,,,,,,
17,68,144,0,212,"1,552",14,"6,521",,,,,,,,
171,53,57,10,120,"1,472",8,"5,931",,,,,,,,
18,167,311,56,534,"4,544",12,"19,225",,,,,,,,
181,49,29,2,80,"1,230",7,"5,095",,,,,,,,
19,82,37,0,119,877,14,"4,964",,,,,,,,
191,33,18,2,53,585,9,"2,616",,,,,,,,
20,103,175,30,308,768,40,"8,363",,,,,,,,
21,161,153,36,350,"1,711",20,"7,854",,,,,,,,
22,246,241,32,519,"2,094",25,"9,859",,,,,,,,
23,366,353,27,746,"3,676",20,"16,075",,,,,,,,
24,189,195,11,395,"2,770",14,"12,186",,,,,,,,
25,121,89,20,230,"1,196",19,"5,523",,,,,,,,
26,94,92,19,205,"1,049",20,"5,032",,,,,,,,
27,45,91,5,141,"1,137",12,"4,770",,,,,,,,
28,148,188,20,356,"3,076",12,"13,377",,,,,,,,
29,4,44,8,56,164,34,"1,021",,,,,,,,
,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
30,39,53,9,101,842,12,"3,590",,,,,,,,
31,125,181,36,342,"1,408",24,"6,154",,,,,,,,
32,65,61,25,151,651,23,"2,611",,,,,,,,
33,129,117,11,257,"2,267",11,"10,571",,,,,,,,
34,50,43,3,96,847,11,"3,879",,,,,,,,
35,75,61,17,153,975,16,"4,296",,,,,,,,
36,107,24,5,136,"1,071",13,"4,896",,,,,,,,
361,14,27,0,41,311,13,"1,243",,,,,,,,
37,54,101,21,176,"1,436",12,"5,416",,,,,,,,
371,57,52,8,117,915,13,"3,507",,,,,,,,
38,50,45,0,95,786,12,"5,612",,,,,,,,
39,37,52,7,96,387,25,"2,695",,,,,,,,
391,9,56,7,72,192,38,"2,054",,,,,,,,
